1 number of sets, Nset 
--------------------------------------------------- 
#1 blade with tip extension 
r   m   x_cg   y_cg   ri_x   ri_y   x_sh   y_sh   E   G   I_x   I_y   I_p   k_x   k_y   A   pitch   x_e   y_e  
$1 39 
0.000000 2332.393356 -0.013189 0.000007 1.591784 1.601715 -0.015114 0.000010 38100966680.199997 5405581821.350000 3.104885 3.146560 6.762110 0.540282 0.542263 1.225994 -0.004315 -0.014201 0.000007 
0.962792 2288.812415 -0.014574 -0.000274 1.569008 1.578790 -0.015707 -0.000222 38131683928.199997 5401730145.130000 2.960594 2.999326 6.443404 0.539914 0.542079 1.203015 -0.468496 -0.016209 -0.000374 
2.888379 1322.690991 -0.109502 -0.003753 1.329858 1.706200 -0.163238 0.003908 20865578740.099998 3485100818.250000 1.925130 3.423551 5.262402 0.545131 0.508034 1.110492 -82.677016 -0.137485 -0.004165 
4.813977 1323.755741 -0.062690 0.001541 1.346194 1.677183 -0.090290 0.012029 16748925350.900000 2869893500.180000 2.447885 4.023786 6.374004 0.535680 0.556262 1.331604 -82.423862 -0.095973 0.001077 
9.627993 1021.587121 0.169527 0.038174 1.177397 1.342744 0.462864 0.076076 15991865598.000000 2704453756.810000 1.621114 1.995558 2.786431 0.603919 0.353508 1.097984 -21.159799 0.138196 0.037577 
14.441998 895.948338 0.315432 0.050131 0.929870 1.437455 0.858648 0.103948 13981297309.500000 2271201587.050000 1.060675 2.215578 1.595490 0.546777 0.270343 1.103795 -4.732705 0.322571 0.046625 
19.255941 776.137818 0.434332 0.044888 0.808854 1.533701 1.071528 0.082730 11624940188.200001 1888713626.270000 0.829527 2.583437 1.146227 0.451171 0.249795 1.118513 -1.586641 0.474323 0.040927 
24.069769 648.257399 0.517374 0.028160 0.748391 1.493308 1.166470 0.070102 10453213871.900000 1666820623.040000 0.657395 2.266489 0.737187 0.324233 0.267435 1.021316 -0.778094 0.570361 0.022672 
31.290201 539.802013 0.548540 0.021911 0.696571 1.339482 1.124366 0.066160 10119276974.799999 1572893002.460000 0.489863 1.569794 0.443308 0.216288 0.310049 0.872813 -0.078184 0.605249 0.015813 
38.510139 475.266075 0.489463 0.017988 0.612962 1.150966 0.944339 0.054192 11371795873.299999 1730958793.240000 0.301501 0.925671 0.289107 0.231238 0.311645 0.702829 0.295947 0.538757 0.012750 
45.729502 409.983240 0.413107 0.011290 0.502406 0.953328 0.749130 0.038730 13130960934.900000 1950096852.030000 0.154204 0.486137 0.162476 0.272066 0.282937 0.544731 0.438490 0.449271 0.007134 
52.948467 347.766895 0.342448 0.011705 0.389525 0.776036 0.571713 0.028475 15833462797.200001 2310214906.170000 0.066457 0.232574 0.080862 0.340715 0.244764 0.397490 0.550047 0.368648 0.008642 
