0.01	RAYLEIGHDMP
1.00	STIFFTUNER
1.00 	MASSTUNER

LENGTH	BMASSD	FLAP	EDGE	GJ	EA	Riy	Riz	Ycm	Zcm	StrPitch	Yce	Zce	Ycs	Zcs	KY	KZ
0.000	8383.700	1.767E+12	1.767E+12	1.360E+12	2.071E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.099	8101.200	1.595E+12	1.595E+12	1.227E+12	2.001E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.099	7676.700	1.512E+12	1.512E+12	1.163E+12	1.897E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.199	7409.000	1.359E+12	1.359E+12	1.045E+12	1.830E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.199	6999.200	1.285E+12	1.285E+12	9.881E+11	1.729E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.298	6746.400	1.150E+12	1.150E+12	8.849E+11	1.667E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.298	6351.200	1.084E+12	1.084E+12	8.335E+11	1.569E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.398	6113.300	9.663E+11	9.663E+11	7.433E+11	1.510E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.398	5732.800	9.066E+11	9.066E+11	6.974E+11	1.416E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.497	5509.700	8.049E+11	8.049E+11	6.191E+11	1.361E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.497	5143.900	7.519E+11	7.519E+11	5.783E+11	1.271E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.597	4935.700	6.642E+11	6.642E+11	5.109E+11	1.219E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.597	4584.500	6.173E+11	6.173E+11	4.749E+11	1.133E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.696	4391.200	5.425E+11	5.425E+11	4.173E+11	1.085E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.696	4054.700	5.012E+11	5.012E+11	3.855E+11	1.002E+11	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.796	3876.200	4.379E+11	4.379E+11	3.368E+11	9.576E+10	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.796	3554.300	4.018E+11	4.018E+11	3.091E+11	8.781E+10	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.895	3390.800	3.488E+11	3.488E+11	2.683E+11	8.377E+10	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
0.895	3083.600	3.175E+11	3.175E+11	2.442E+11	7.618E+10	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
1.000	2926.700	2.714E+11	2.714E+11	2.088E+11	7.231E+10	0.352	0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
