 alpha    c_a    c_d    c_m
-180 0.00000 0.03843 0.00000
-178 0.05133 0.04078 0.09143
-175 0.10267 0.04783 0.18286
-173 0.15400 0.05953 0.27429
-171 0.20533 0.07581 0.36571
-169 0.25667 0.09656 0.38923
-166 0.30800 0.12164 0.37200
-164 0.35933 0.15090 0.35477
-162 0.41067 0.18415 0.33754
-159 0.46200 0.22117 0.32884
-157 0.51333 0.26173 0.34570
-155 0.56466 0.30556 0.36256
-153 0.61600 0.35239 0.37943
-150 0.66733 0.40191 0.39629
-148 0.71866 0.45381 0.40164
-144 0.70118 0.55283 0.40834
-140 0.68156 0.65645 0.41509
-136 0.65737 0.76248 0.42255
-131 0.62711 0.86868 0.43001
-127 0.58996 0.97280 0.43837
-123 0.54559 1.07264 0.44720
-119 0.49409 1.16607 0.45533
-115 0.43590 1.25110 0.46129
-111 0.37171 1.32592 0.46724
-107 0.30247 1.38894 0.46848
-102 0.22931 1.43878 0.46874
-98 0.15355 1.47439 0.46618
-94 0.07661 1.49495 0.45961
-90 0.00000 1.50000 0.45305
-86 -0.07661 1.49495 0.44019
-82 -0.15355 1.47439 0.42733
-78 -0.22931 1.43878 0.41118
-73 -0.30247 1.38894 0.39272
-69 -0.37171 1.32592 0.37363
-65 -0.43590 1.25110 0.35148
-61 -0.49409 1.16607 0.32934
-57 -0.54559 1.07264 0.30622
-53 -0.58996 0.97280 0.28278
-49 -0.62711 0.86868 0.25948
-44 -0.65737 0.76248 0.23642
-40 -0.68156 0.65645 0.21337
-36 -0.70118 0.55283 0.15404
-32 -0.71866 0.45381 0.09203
-28 -0.97837 0.24922 0.05244
-24 -1.06407 0.16348 0.02184
-20 -1.07895 0.10625 0.00185
-18 -1.06462 0.08465 -0.00392
-16 -1.03826 0.06646 -0.00720
-14 -1.00533 0.05088 -0.00847
-12 -0.97225 0.03722 -0.00898
-10 -0.90545 0.02528 -0.01528
 -8 -0.70591 0.01715 -0.03663
 -6 -0.43473 0.01333 -0.05799
 -4 -0.16708 0.01169 -0.07178
 -2 0.09332 0.01101 -0.08153
 -1 0.22162 0.01089 -0.08559
  0 0.34879 0.01087 -0.08927
  1 0.47482 0.01095 -0.09262
  2 0.59965 0.01112 -0.09568
  3 0.72313 0.01139 -0.09845
  4 0.84505 0.01176 -0.10095
  5 0.96515 0.01222 -0.10314
  6 1.08311 0.01281 -0.10502
  7 1.19832 0.01352 -0.10653
  8 1.31025 0.01439 -0.10761
  9 1.41770 0.01544 -0.10813
 10 1.51909 0.01675 -0.10795
 11 1.61194 0.01841 -0.10687
 12 1.69312 0.02062 -0.10477
 13 1.75847 0.02376 -0.10189
 14 1.79862 0.02873 -0.09857
 15 1.79469 0.03743 -0.09531
 16 1.73775 0.05165 -0.09353
 18 1.56474 0.09133 -0.09780
 20 1.44625 0.13274 -0.10806
 24 1.29776 0.21887 -0.13343
 28 1.16504 0.32277 -0.16371
 32 1.02666 0.45381 -0.19496
 36 1.00168 0.55283 -0.22018
 40 0.97366 0.65645 -0.24518
 44 0.93911 0.76248 -0.26723
 49 0.89588 0.86868 -0.28929
 53 0.84280 0.97280 -0.31007
 57 0.77941 1.07264 -0.33020
 61 0.70585 1.16607 -0.34980
 65 0.62271 1.25110 -0.36780
 69 0.53101 1.32592 -0.38579
 73 0.43209 1.38894 -0.40135
 78 0.32759 1.43878 -0.41640
 82 0.21936 1.47439 -0.43000
 86 0.10944 1.49495 -0.44152
 90 0.00000 1.50000 -0.45305
 94 -0.07661 1.49495 -0.45961
 98 -0.15355 1.47439 -0.46618
102 -0.22931 1.43878 -0.46874
107 -0.30247 1.38894 -0.46848
111 -0.37171 1.32592 -0.46724
115 -0.43590 1.25110 -0.46129
119 -0.49409 1.16607 -0.45533
123 -0.54559 1.07264 -0.44720
127 -0.58996 0.97280 -0.43837
131 -0.62711 0.86868 -0.43001
136 -0.65737 0.76248 -0.42255
140 -0.68156 0.65645 -0.41509
144 -0.70118 0.55283 -0.40834
148 -0.71866 0.45381 -0.40164
150 -0.66733 0.40191 -0.39629
153 -0.61600 0.35239 -0.37943
155 -0.56466 0.30556 -0.36256
157 -0.51333 0.26173 -0.34570
159 -0.46200 0.22117 -0.32884
162 -0.41067 0.18415 -0.35468
164 -0.35933 0.15090 -0.39477
166 -0.30800 0.12164 -0.43486
169 -0.25667 0.09656 -0.47495
171 -0.20533 0.07581 -0.45714
173 -0.15400 0.05953 -0.34286
175 -0.10267 0.04783 -0.22857
178 -0.05133 0.04078 -0.11429
180 0.00000 0.03843 0.00000
