 alpha    c_a    c_d    c_m
-180 0.00000 0.17604 0.00000
-178 0.04655 0.17779 0.08101
-175 0.09309 0.18302 0.16201
-173 0.13964 0.19169 0.24302
-171 0.18618 0.20376 0.32402
-169 0.23273 0.21913 0.33853
-166 0.27927 0.23772 0.31315
-164 0.32582 0.25938 0.28776
-162 0.37237 0.28400 0.26238
-159 0.41891 0.31139 0.24690
-157 0.46546 0.34138 0.26114
-155 0.51200 0.37377 0.27538
-153 0.55855 0.40835 0.28962
-150 0.60509 0.44488 0.30386
-148 0.65164 0.48313 0.30661
-144 0.61972 0.55600 0.30862
-140 0.58953 0.63207 0.31071
-136 0.55835 0.70968 0.31395
-131 0.52448 0.78713 0.31720
-127 0.48693 0.86272 0.32194
-123 0.44519 0.93476 0.32748
-119 0.39916 1.00167 0.33269
-115 0.34903 1.06192 0.33688
-111 0.29526 1.11417 0.34107
-107 0.23849 1.15720 0.34213
-102 0.17957 1.19001 0.34253
-98 0.11945 1.21179 0.34092
-94 0.05921 1.22196 0.33645
-90 0.00000 1.22020 0.33197
-86 -0.05921 1.22196 0.32551
-82 -0.11945 1.21179 0.31905
-78 -0.17957 1.19001 0.30995
-73 -0.23849 1.15720 0.29899
-69 -0.29526 1.11417 0.28750
-65 -0.34903 1.06192 0.27347
-61 -0.39916 1.00167 0.25945
-57 -0.44519 0.93476 0.24454
-53 -0.48693 0.86272 0.22936
-49 -0.52448 0.78713 0.21430
-44 -0.55835 0.70968 0.19948
-40 -0.58953 0.63207 0.18466
-36 -0.61972 0.55600 0.12379
-32 -0.65164 0.48313 0.05950
-28 -0.66647 0.31294 0.03768
-24 -0.64949 0.25093 0.01724
-20 -0.60559 0.20037 0.00009
-18 -0.57228 0.17925 -0.00689
-16 -0.53210 0.16064 -0.01257
-14 -0.48665 0.14443 -0.01673
-12 -0.43643 0.13032 -0.01927
-10 -0.38336 0.11805 -0.02023
 -8 -0.33586 0.10726 -0.01921
 -6 -0.30292 0.09757 -0.01617
 -4 -0.20510 0.09009 -0.02379
 -2 0.03456 0.08647 -0.04744
 -1 0.17463 0.08558 -0.06030
  0 0.31559 0.08507 -0.07227
  1 0.45377 0.08485 -0.08291
  2 0.58747 0.08488 -0.09208
  3 0.71586 0.08513 -0.09979
  4 0.83854 0.08559 -0.10615
  5 0.95510 0.08626 -0.11125
  6 1.06470 0.08717 -0.11512
  7 1.16517 0.08838 -0.11759
  8 1.25342 0.09005 -0.11847
  9 1.32429 0.09247 -0.11754
 10 1.37240 0.09619 -0.11525
 11 1.38135 0.10270 -0.11187
 12 1.32217 0.11529 -0.10861
 13 1.20433 0.13528 -0.10814
 14 1.09615 0.15745 -0.11089
 15 1.02146 0.17864 -0.11521
 16 0.97158 0.19877 -0.12002
 18 0.91470 0.23667 -0.12955
 20 0.89025 0.27253 -0.13858
 24 0.89087 0.34111 -0.15571
 28 0.90850 0.41005 -0.17245
 32 0.93091 0.48313 -0.19050
 36 0.88531 0.55600 -0.20424
 40 0.84218 0.63207 -0.21788
 44 0.79764 0.70968 -0.23025
 49 0.74926 0.78713 -0.24263
 53 0.69561 0.86272 -0.25444
 57 0.63598 0.93476 -0.26597
 61 0.57023 1.00167 -0.27718
 65 0.49862 1.06192 -0.28740
 69 0.42179 1.11417 -0.29762
 73 0.34070 1.15720 -0.30609
 78 0.25653 1.19001 -0.31419
 82 0.17064 1.21179 -0.32118
 86 0.08459 1.22196 -0.32657
 90 0.00000 1.22020 -0.33197
 94 -0.05921 1.22196 -0.33645
 98 -0.11945 1.21179 -0.34092
102 -0.17957 1.19001 -0.34253
107 -0.23849 1.15720 -0.34213
111 -0.29526 1.11417 -0.34107
115 -0.34903 1.06192 -0.33688
119 -0.39916 1.00167 -0.33269
123 -0.44519 0.93476 -0.32748
127 -0.48693 0.86272 -0.32194
131 -0.52448 0.78713 -0.31720
136 -0.55835 0.70968 -0.31395
140 -0.58953 0.63207 -0.31071
144 -0.61972 0.55600 -0.30862
148 -0.65164 0.48313 -0.30661
150 -0.60509 0.44488 -0.30386
153 -0.55855 0.40835 -0.28962
155 -0.51200 0.37377 -0.27538
157 -0.46546 0.34138 -0.26114
159 -0.41891 0.31139 -0.24690
162 -0.37237 0.28400 -0.27757
164 -0.32582 0.25938 -0.32320
166 -0.27927 0.23772 -0.36884
169 -0.23273 0.21913 -0.41447
171 -0.18618 0.20376 -0.40503
173 -0.13964 0.19169 -0.30377
175 -0.09309 0.18302 -0.20251
178 -0.04655 0.17779 -0.10126
180 0.00000 0.17604 0.00000
