 alpha    c_a    c_d    c_m
-180 0.00000 0.05903 0.00000
-178 0.04953 0.06137 0.09143
-175 0.09906 0.06837 0.18286
-173 0.14859 0.07999 0.27429
-171 0.19812 0.09615 0.36571
-169 0.24765 0.11675 0.38816
-166 0.29719 0.14165 0.36921
-164 0.34672 0.17070 0.35026
-162 0.39625 0.20371 0.33131
-159 0.44578 0.24046 0.32128
-157 0.49531 0.28072 0.33800
-155 0.54484 0.32421 0.35472
-153 0.59437 0.37068 0.37143
-150 0.64390 0.41981 0.38815
-148 0.69343 0.47128 0.39429
-144 0.68062 0.56946 0.40267
-140 0.66483 0.67216 0.41105
-136 0.64383 0.77719 0.41958
-131 0.61626 0.88232 0.42810
-127 0.58138 0.98529 0.43710
-123 0.53895 1.08390 0.44635
-119 0.48910 1.17606 0.45483
-115 0.43228 1.25976 0.46085
-111 0.36922 1.33321 0.46686
-107 0.30089 1.39481 0.46801
-102 0.22843 1.44322 0.46814
-98 0.15316 1.47736 0.46542
-94 0.07651 1.49644 0.45867
-90 0.00000 1.50000 0.45192
-86 -0.07651 1.49644 0.43958
-82 -0.15316 1.47736 0.42724
-78 -0.22843 1.44322 0.41153
-73 -0.30089 1.39481 0.39344
-69 -0.36922 1.33321 0.37467
-65 -0.43228 1.25976 0.35267
-61 -0.48910 1.17606 0.33067
-57 -0.53895 1.08390 0.30751
-53 -0.58138 0.98529 0.28397
-49 -0.61626 0.88232 0.26050
-44 -0.64383 0.77719 0.23715
-40 -0.66483 0.67216 0.21380
-36 -0.68062 0.56946 0.15674
-32 -0.69343 0.47128 0.09719
-28 -0.78620 0.31790 0.06745
-24 -1.07180 0.16099 0.02252
-20 -1.12618 0.09912 0.00006
-18 -1.11823 0.07762 -0.00558
-16 -1.09648 0.05979 -0.00858
-14 -1.07004 0.04446 -0.01005
-12 -1.02694 0.03074 -0.01440
-10 -0.89505 0.02030 -0.02850
 -8 -0.66980 0.01456 -0.04645
 -6 -0.40886 0.01188 -0.06171
 -4 -0.15046 0.01068 -0.07215
 -2 0.10355 0.01019 -0.08005
 -1 0.22925 0.01011 -0.08345
  0 0.35406 0.01013 -0.08659
  1 0.47795 0.01024 -0.08948
  2 0.60080 0.01043 -0.09215
  3 0.72245 0.01072 -0.09460
  4 0.84268 0.01109 -0.09682
  5 0.96123 0.01156 -0.09880
  6 1.07778 0.01214 -0.10051
  7 1.19174 0.01285 -0.10190
  8 1.30271 0.01372 -0.10293
  9 1.40954 0.01477 -0.10350
 10 1.51078 0.01607 -0.10349
 11 1.60425 0.01773 -0.10273
 12 1.68654 0.01993 -0.10111
 13 1.75261 0.02313 -0.09877
 14 1.79069 0.02836 -0.09597
 15 1.77956 0.03777 -0.09318
 16 1.71796 0.05250 -0.09177
 18 1.56113 0.09035 -0.09571
 20 1.46196 0.12859 -0.10466
 24 1.33278 0.20908 -0.12781
 28 1.18205 0.31537 -0.15941
 32 0.99062 0.47128 -0.19459
 36 0.97232 0.56946 -0.22003
 40 0.94976 0.67216 -0.24526
 44 0.91976 0.77719 -0.26765
 49 0.88037 0.88232 -0.29004
 53 0.83055 0.98529 -0.31105
 57 0.76993 1.08390 -0.33133
 61 0.69871 1.17606 -0.35102
 65 0.61754 1.25976 -0.36890
 69 0.52746 1.33321 -0.38679
 73 0.42984 1.39481 -0.40203
 78 0.32633 1.44322 -0.41673
 82 0.21880 1.47736 -0.42990
 86 0.10930 1.49644 -0.44091
 90 0.00000 1.50000 -0.45192
 94 -0.07651 1.49644 -0.45867
 98 -0.15316 1.47736 -0.46542
102 -0.22843 1.44322 -0.46814
107 -0.30089 1.39481 -0.46801
111 -0.36922 1.33321 -0.46686
115 -0.43228 1.25976 -0.46085
119 -0.48910 1.17606 -0.45483
123 -0.53895 1.08390 -0.44635
127 -0.58138 0.98529 -0.43710
131 -0.61626 0.88232 -0.42810
136 -0.64383 0.77719 -0.41958
140 -0.66483 0.67216 -0.41105
144 -0.68062 0.56946 -0.40267
148 -0.69343 0.47128 -0.39429
150 -0.64390 0.41981 -0.38815
153 -0.59437 0.37068 -0.37143
155 -0.54484 0.32421 -0.35472
157 -0.49531 0.28072 -0.33800
159 -0.44578 0.24046 -0.32128
162 -0.39625 0.20371 -0.34845
164 -0.34672 0.17070 -0.39026
166 -0.29719 0.14165 -0.43206
169 -0.24765 0.11675 -0.47387
171 -0.19812 0.09615 -0.45714
173 -0.14859 0.07999 -0.34286
175 -0.09906 0.06837 -0.22857
178 -0.04953 0.06137 -0.11429
180 0.00000 0.05903 0.00000
