0.0024	RAYLEIGHDMP
1.00	STIFFTUNER
1.00 	MASSTUNER

LENGTH	BMASSD	FLAP	EDGE	GJ	EA	Riy	Riz	Ycm	Zcm	StrPitch	Yce	Zce	Ycs	Zcs	KY	KZ
0.000	2332.393	1.183E+11	1.199E+11	3.655E+10	4.671E+10	0.346	0.348	-0.003	0.000	-0.004	-0.003	0.000	-0.003	0.000	0.540	0.542
0.010	2288.812	1.129E+11	1.144E+11	3.481E+10	4.587E+10	0.342	0.344	-0.003	0.000	-0.468	-0.004	0.000	-0.003	0.000	0.540	0.542
0.030	1322.691	4.017E+10	7.143E+10	1.834E+10	2.317E+10	0.289	0.371	-0.024	-0.001	-82.677	-0.030	-0.001	-0.035	0.001	0.545	0.508
0.050	1323.756	4.100E+10	6.739E+10	1.829E+10	2.230E+10	0.290	0.362	-0.014	0.000	-82.424	-0.021	0.000	-0.019	0.003	0.536	0.556
0.099	1021.587	2.592E+10	3.191E+10	7.536E+09	1.756E+10	0.237	0.270	0.034	0.008	-21.160	0.028	0.008	0.093	0.015	0.604	0.354
0.149	895.948	1.483E+10	3.098E+10	3.624E+09	1.543E+10	0.168	0.259	0.057	0.009	-4.733	0.058	0.008	0.155	0.019	0.547	0.270
0.199	776.138	9.643E+09	3.003E+10	2.165E+09	1.300E+10	0.135	0.256	0.073	0.008	-1.587	0.079	0.007	0.179	0.014	0.451	0.250
0.249	648.257	6.872E+09	2.369E+10	1.229E+09	1.068E+10	0.125	0.250	0.087	0.005	-0.778	0.096	0.004	0.196	0.012	0.324	0.267
0.323	539.802	4.957E+09	1.589E+10	6.973E+08	8.832E+09	0.126	0.243	0.099	0.004	-0.078	0.110	0.003	0.204	0.012	0.216	0.310
0.398	475.266	3.429E+09	1.053E+10	5.004E+08	7.992E+09	0.125	0.235	0.100	0.004	0.296	0.110	0.003	0.193	0.011	0.231	0.312
0.473	409.983	2.025E+09	6.383E+09	3.168E+08	7.153E+09	0.119	0.226	0.098	0.003	0.438	0.107	0.002	0.178	0.009	0.272	0.283
0.547	347.767	1.052E+09	3.682E+09	1.868E+08	6.294E+09	0.109	0.217	0.096	0.003	0.550	0.103	0.002	0.160	0.008	0.341	0.245
0.622	291.129	5.091E+08	2.068E+09	1.029E+08	5.450E+09	0.098	0.210	0.098	0.005	0.697	0.103	0.005	0.147	0.009	0.427	0.206
0.696	235.999	2.418E+08	1.115E+09	5.474E+07	4.520E+09	0.090	0.204	0.101	0.008	0.831	0.105	0.007	0.139	0.011	0.513	0.178
0.771	180.676	1.131E+08	5.866E+08	3.029E+07	3.489E+09	0.084	0.204	0.105	0.010	0.843	0.108	0.010	0.141	0.013	0.591	0.170
0.846	127.940	5.504E+07	2.893E+08	1.789E+07	2.454E+09	0.084	0.206	0.107	0.010	0.596	0.110	0.010	0.141	0.012	0.670	0.186
0.922	75.583	2.239E+07	1.161E+08	8.881E+06	1.398E+09	0.087	0.219	0.101	0.009	-0.093	0.105	0.008	0.146	0.011	0.734	0.220
0.978	29.664	2.726E+06	2.553E+07	1.359E+06	5.246E+08	0.075	0.265	0.062	0.012	-0.813	0.072	0.011	0.180	0.012	0.704	0.149
1.000	9.393	2.730E+05	5.083E+06	1.165E+05	1.734E+08	0.065	0.303	-0.003	0.014	-0.383	0.015	0.014	0.327	0.019	0.707	0.044

