0.0024	RAYLEIGHDMP
1.00	STIFFTUNER
1.00 	MASSTUNER


LENGTH	BMASSD	FLAP	EDGE	GJ	EA	Riy	Riz	Ycm	Zcm	StrPitch	Yce	Zce	Ycs	Zcs	KY	KZ
0.000	2332.393	1.183E+11	1.199E+11	3.655E+10	4.671E+10	0.346	0.348	-0.003	0.000	-0.004	-0.003	0.000	-0.003	0.000	0.540	0.542
0.009	2288.812	1.129E+11	1.144E+11	3.481E+10	4.587E+10	0.342	0.344	-0.003	0.000	-0.468	-0.004	0.000	-0.003	0.000	0.540	0.542
0.028	1322.691	4.017E+10	7.143E+10	1.834E+10	2.317E+10	0.289	0.371	-0.024	-0.001	-82.677	-0.030	-0.001	-0.035	0.001	0.545	0.508
0.047	1323.756	4.100E+10	6.739E+10	1.829E+10	2.230E+10	0.290	0.362	-0.014	0.000	-82.424	-0.021	0.000	-0.019	0.003	0.536	0.556
0.094	1021.587	2.592E+10	3.191E+10	7.536E+09	1.756E+10	0.237	0.270	0.034	0.008	-21.160	0.028	0.008	0.093	0.015	0.604	0.354
0.141	895.948	1.483E+10	3.098E+10	3.624E+09	1.543E+10	0.168	0.259	0.057	0.009	-4.733	0.058	0.008	0.155	0.019	0.547	0.270
0.188	776.138	9.643E+09	3.003E+10	2.165E+09	1.300E+10	0.135	0.256	0.073	0.008	-1.587	0.079	0.007	0.179	0.014	0.451	0.250
0.235	648.257	6.872E+09	2.369E+10	1.229E+09	1.068E+10	0.125	0.250	0.087	0.005	-0.778	0.096	0.004	0.196	0.012	0.324	0.267
0.306	539.802	4.957E+09	1.589E+10	6.973E+08	8.832E+09	0.126	0.243	0.099	0.004	-0.078	0.110	0.003	0.204	0.012	0.216	0.310
0.376	475.266	3.429E+09	1.053E+10	5.004E+08	7.992E+09	0.125	0.235	0.100	0.004	0.296	0.110	0.003	0.193	0.011	0.231	0.312
0.447	409.983	2.025E+09	6.383E+09	3.168E+08	7.153E+09	0.119	0.226	0.098	0.003	0.438	0.107	0.002	0.178	0.009	0.272	0.283
0.517	347.767	1.052E+09	3.682E+09	1.868E+08	6.294E+09	0.109	0.217	0.096	0.003	0.550	0.103	0.002	0.160	0.008	0.341	0.245
0.588	291.129	5.092E+08	2.068E+09	1.029E+08	5.450E+09	0.098	0.210	0.098	0.005	0.697	0.103	0.005	0.147	0.009	0.427	0.206
0.659	235.999	2.418E+08	1.115E+09	5.473E+07	4.520E+09	0.090	0.204	0.101	0.008	0.831	0.105	0.007	0.139	0.011	0.513	0.178
0.729	180.676	1.131E+08	5.866E+08	3.029E+07	3.489E+09	0.084	0.204	0.105	0.010	0.843	0.108	0.010	0.141	0.013	0.591	0.170
0.800	127.940	5.503E+07	2.893E+08	1.789E+07	2.454E+09	0.084	0.206	0.107	0.010	0.596	0.110	0.010	0.141	0.012	0.670	0.186
0.872	75.583	2.239E+07	1.161E+08	8.881E+06	1.398E+09	0.087	0.219	0.101	0.009	-0.093	0.105	0.008	0.146	0.011	0.734	0.220
0.925	29.664	2.715E+06	2.554E+07	1.359E+06	5.246E+08	0.075	0.265	0.062	0.012	-0.813	0.072	0.011	0.180	0.012	0.704	0.149
0.945	29.664	2.715E+06	2.554E+07	1.359E+06	5.246E+08	0.091	0.322	0.075	0.014	-0.813	0.087	0.014	0.218	0.015	0.704	0.149
0.947	28.650	2.626E+06	2.467E+07	1.305E+06	5.101E+08	0.090	0.321	0.072	0.014	-0.791	0.084	0.014	0.223	0.015	0.704	0.144
0.950	27.637	2.508E+06	2.381E+07	1.255E+06	4.952E+08	0.090	0.322	0.069	0.014	-0.770	0.082	0.014	0.228	0.015	0.704	0.139
0.952	26.623	2.415E+06	2.293E+07	1.198E+06	4.801E+08	0.089	0.322	0.066	0.014	-0.748	0.079	0.014	0.233	0.016	0.704	0.134
0.955	25.610	2.292E+06	2.203E+07	1.146E+06	4.646E+08	0.088	0.323	0.063	0.014	-0.727	0.076	0.014	0.239	0.016	0.704	0.128
0.957	24.596	2.195E+06	2.109E+07	1.088E+06	4.488E+08	0.087	0.324	0.060	0.014	-0.705	0.073	0.014	0.246	0.016	0.704	0.123
0.959	23.583	2.068E+06	2.015E+07	1.028E+06	4.327E+08	0.087	0.326	0.057	0.014	-0.684	0.071	0.014	0.253	0.016	0.704	0.118
0.962	22.569	1.967E+06	1.920E+07	9.730E+05	4.163E+08	0.087	0.329	0.054	0.015	-0.662	0.068	0.015	0.261	0.017	0.705	0.113
0.964	21.556	1.835E+06	1.823E+07	9.114E+05	3.995E+08	0.086	0.332	0.050	0.015	-0.641	0.065	0.015	0.269	0.017	0.705	0.107
0.966	20.542	1.730E+06	1.721E+07	8.540E+05	3.824E+08	0.086	0.335	0.047	0.015	-0.619	0.062	0.015	0.278	0.018	0.705	0.102
0.969	19.529	1.594E+06	1.621E+07	7.903E+05	3.650E+08	0.086	0.339	0.044	0.015	-0.598	0.060	0.015	0.288	0.018	0.705	0.097
0.971	18.515	1.485E+06	1.518E+07	7.254E+05	3.473E+08	0.086	0.343	0.040	0.015	-0.576	0.057	0.015	0.299	0.019	0.705	0.092
0.973	17.502	1.344E+06	1.414E+07	6.650E+05	3.293E+08	0.086	0.348	0.036	0.015	-0.555	0.053	0.016	0.310	0.019	0.705	0.086
0.976	16.488	1.231E+06	1.305E+07	5.981E+05	3.109E+08	0.086	0.354	0.032	0.016	-0.533	0.050	0.016	0.323	0.020	0.706	0.081
0.978	15.475	1.085E+06	1.197E+07	5.356E+05	2.922E+08	0.086	0.360	0.028	0.016	-0.512	0.047	0.016	0.336	0.021	0.706	0.076
0.981	14.461	9.688E+05	1.088E+07	4.665E+05	2.732E+08	0.087	0.367	0.024	0.016	-0.490	0.043	0.017	0.351	0.022	0.706	0.070
0.983	13.448	8.186E+05	9.761E+06	3.964E+05	2.539E+08	0.087	0.375	0.019	0.017	-0.469	0.039	0.017	0.367	0.022	0.706	0.065
0.985	12.434	6.979E+05	8.597E+06	3.308E+05	2.342E+08	0.087	0.383	0.014	0.017	-0.447	0.035	0.018	0.384	0.023	0.706	0.060
0.988	11.421	5.433E+05	7.446E+06	2.586E+05	2.143E+08	0.088	0.393	0.008	0.018	-0.426	0.031	0.018	0.403	0.024	0.706	0.055
0.990	10.407	4.185E+05	6.278E+06	1.910E+05	1.940E+08	0.088	0.403	0.002	0.018	-0.404	0.026	0.019	0.424	0.025	0.706	0.049
